Project Number,Due Date,Start Date,Client Due Date,Address 1,Address 2,City,State,ZIP,Info,Status,Field Status,Client Status,Tasks,Assigned To,Coordinator,Client Code,Reference,Description,Src. Project Provider,Src. Project ID,Src. Project Number,Options
OK143454,1/10/2018 23:00,,1/10/2018 23:00,11401 Southeast 97th Street,,Oklahoma City,OK,73165,,Complete,Viewed,Fannie Mae,"[{""serviceName"":""Preventive Boarding-Security Door"",""survey"":null,""instructions"":"""",""options"":null}]",robertnelson,,,Preventive Boarding-Security Door,50,,,,
OK143454__2,1/10/2018 23:00,,1/10/2018 23:00,11401 Southeast 97th Street,,Oklahoma City,OK,73165,,Complete,Complete,Fannie Mae,"[{""serviceName"":""paint to match- security door"",""survey"":"""",""instructions"":"""",""options"":null}]",robertnelson,,,paint to match- security door,35,,,,
OK143454__3,1/10/2018 23:00,,1/10/2018 23:00,11401 Southeast 97th Street,,Oklahoma City,OK,73165,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Clear Board"",""survey"":"""",""instructions"":"""",""options"":null}]",robertnelson,,,Clear Board,,,,,
OK010518-73__1,1/11/2018 0:00,,1/11/2018 0:00,1724 White Tail Dr,,Altus,OK,73521,LB: 5823,Complete,Complete,Fannie Mae,"[{""serviceName"":""Fence Repair"",""survey"":null,""instructions"":"""",""options"":null}]",royherndon,,,Fence Repair,,,,,
TX010518-126__1,1/11/2018 0:00,,1/11/2018 0:00,503 McBride St,,Como,TX,75431,LB: 3462,Complete,Complete,Fannie Mae,"[{""serviceName"":""Window Reglaze - Up to 36x36"",""survey"":null,""instructions"":""There appears to be (3) small window panes right next to each other that are all broken across the bottom, can you please install new glass, this was marked as deficient on the Fannie Mae QC team and is due on the 11th"",""options"":null}]",victordudley,,,Window Reglaze - Up to 36x36,,,,,
TX163236__2,1/11/2018 17:00,1/6/2018 0:00,1/11/2018 17:00,205 Furrh St,,Marshall,TX,75672,LB: 8637,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Trash Removal"",""survey"":"""",""instructions"":"""",""options"":null}]",Garycarter,,,Initial Trash Removal,$775.00 ,,,,
108-134741__1,1/11/2018 23:00,,1/11/2018 23:00,"6423 22nd St,",,Lubbock,TX,79407,LB: 6411,Complete,Complete,Fannie Mae,"[{""serviceName"":""Debris Removal"",""survey"":"""",""instructions"":""- 1.15.2018 - Per our conversation there is still the following that needs to be remedied: \n1.Debris throughout the lawn to include a bird house, windmill, statues and various other objects that were left by the previous owner (please remember if it is not part of the original structure and it is something that was purchased and placed by the previous tenant unless instructed otherwise it needs to be removed)\n2.Wood next to the storage building needs to be removed\n5.Debris on the interior , please make sure all the debris is completely removed before marking a work order as complete."",""options"":null},{""serviceName"":""Initial Trash Removal"",""survey"":"""",""instructions"":"""",""options"":null}]",rickieortiz,,,Initial Trash Removal,,,,,
108-134741__10,1/11/2018 23:00,,1/11/2018 23:00,"6423 22nd St,",,Lubbock,TX,79407,LB: 6411,Complete,Complete,Fannie Mae,"[{""serviceName"":""Damprid in Basement"",""survey"":"""",""instructions"":"""",""options"":null}]",rickieortiz,,,Damp Rid,$35.00 ,,,,
108-134741__5,1/11/2018 23:00,,1/11/2018 23:00,"6423 22nd St,",,Lubbock,TX,79407,LB: 6411,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",rickieortiz,,,Landscape Package,$175.00 ,,,,
108-134741__9,1/11/2018 23:00,,1/11/2018 23:00,"6423 22nd St,",,Lubbock,TX,79407,LB: 6411,Complete,Complete,Fannie Mae,"[{""serviceName"":""Exterior Door Repair _ Replacement"",""survey"":"""",""instructions"":""Per our conversation the front door was kicked in and the frame is damaged, please repair"",""options"":null}]",rickieortiz,,,Exterior Door Repair / Replacement,,,,,
1229-164426,1/11/2018 23:00,,1/11/2018 23:00,"7381 Fm 2692,",,Gordon,TX,76453,LB: 1826,Complete,Viewed,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":"""",""instructions"":"""",""options"":null}]",MarkMoeller,,,Landscape Package,$175.00 ,,,,
105-164737__5,1/12/2018 23:00,,1/12/2018 23:00,"717 Ochiltree St,",,Daingerfield,TX,75638,LB: 8564,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":"""",""instructions"":"""",""options"":null}]",TeddyBrabham,,,Landscape Package,$175.00 ,,,,
OK856151826,1/12/2018 23:00,,1/12/2018 23:00,5425 S Dewey Ave,,Oklahoma City,OK,73109,LB: 3117,Complete,Complete,Fannie mae,"[{""serviceName"":""De-Winterization"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,De-Winterization,50,,,,
OK010518-102,1/13/2018 0:00,,1/13/2018 0:00,1114 N Westmoreland Ave,,Oklahoma City,OK,73130,LB: 8406,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX010518-135,1/13/2018 0:00,,1/13/2018 0:00,300 GLAZENER STREET,,HAWKINS,TX,75765,4004848453,Complete,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":null,""instructions"":null,""options"":null}]",BattsJJ,,,FNMA Property Inspection,,,,,
111-104339,1/13/2018 23:00,,1/13/2018 23:00,1506 Henderson St,,Sweetwater,TX,79556,LB: 2953,Complete,,Fannie Mae,"[{""serviceName"":""_BID ONLY_ Demo Tree House"",""survey"":"""",""instructions"":""Please provide an estimate for the demoing of the tree house in the back yard, in the mean time please caution the area so there is no access up the ladder."",""options"":null}]",Rubenanahimartinez,,,*BID ONLY* Demo Tree House,$120.00 ,,,,
TX464131309__5,1/14/2018 19:00,,1/14/2018 19:00,5626 McCommas Boulevard,,Dallas,TX,75206,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",Filemonv,,,Landscape Package,175,,,,
TX011218-133,1/15/2018 0:00,,1/15/2018 0:00,647 County Rd 1987,,Yantis,TX,75497,LB: 3757,Complete,Complete,Fannie Mae,"[{""serviceName"":""Mosquito Prevention"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,Mosquito Prevention,$15.00 ,,,,
TX011218-28,1/15/2018 0:00,,1/15/2018 0:00,401 Line Drive,,Gainesville,TX,76240,LB: 2505,Complete,Viewed,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",DianeJackson,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX011218-28__1,1/15/2018 0:00,,1/15/2018 0:00,401 Line Drive,,Gainesville,TX,76240,LB: 2505,Complete,Complete,Fannie Mae,"[{""serviceName"":""Plumbing Emergency Repair"",""survey"":null,""instructions"":""Please repair the washer connections to allow us to properly cap them to prevent any possible damages"",""options"":null}]",DianeJackson,,,Plumbing Emergency Repair,NTE $250,,,,
TX011218-66,1/15/2018 0:00,,1/15/2018 0:00,1088 Havenbrook,,Wills Point,TX,75169,1735756091,Complete,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":null,""instructions"":null,""options"":null}]",BattsJJ,,,FNMA Property Inspection,,,,,
112-174555,1/15/2018 23:00,,1/15/2018 23:00,1088 HavenbrookWills PointTX75169,,Wills Point,TX,75169,LB: 6091,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":""Please proceed with the approved landscape package"",""options"":null}]",Jenniferh,,,Landscape Package,$425.00 ,,,,
TX011218-124__1,1/16/2018 0:00,,1/16/2018 0:00,1580 County Road 2800,,Mineola,TX,75773,LB: 6539,Complete,Complete,Fannie Mae,"[{""serviceName"":""Exterior Door Repair _ Replacement"",""survey"":null,""instructions"":""The rear door is bowing out at the bottom, please try to repair so the door can close properly and provide security to the property."",""options"":null}]",Jenniferh,,,Exterior Door Repair / Replacement,,,,,
TX011218-124__2,1/16/2018 0:00,,1/16/2018 0:00,1580 County Road 2800,,Mineola,TX,75773,LB: 6539,Complete,Complete,Fannie Mae,"[{""serviceName"":""Debris Removal"",""survey"":null,""instructions"":""Please remove the dumped debris from the property"",""options"":null}]",Jenniferh,,,Debris Removal,$15/CY,,,,
TX011218-136,1/16/2018 0:00,,1/16/2018 0:00,2105 Handly Street,,Texarkana,TX,75501,LB: 1149,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",kristywilliams,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-25,1/16/2018 0:00,,1/16/2018 0:00,2917 Featherston Ave,,Wichita Falls,TX,76308,LB: 9931,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
108-130811__3,1/16/2018 23:00,,1/16/2018 23:00,"559 County Road 1450,",,Chico,TX,76431,LB: 6802,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Winterization"",""survey"":"""",""instructions"":"""",""options"":null}]",AmberChairez,,,Initial Winterization,$100.00 ,,,,
1211-150831__7,1/16/2018 23:00,,1/16/2018 23:00,"19 Pine Burr Cir,",,Marshall,TX,75672,LB: 2550,Complete,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter Package"",""survey"":"""",""instructions"":"""",""options"":null}]",Garycarter,,,Roof and Gutter Package,$85.00 ,,,,
1211-172203__7,1/16/2018 23:00,,1/16/2018 23:00,3012 Post St,,Texarkana,TX,75501,LB: 6826,Complete,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter Package"",""survey"":"""",""instructions"":""For the Roof and Gutter Package we need photos showing the arial view of the roof (someone standing on top and showing there is no debris on the roof or vegetation touching the roof line) - Jamie"",""options"":null}]",TeddyBrabham,,,Roof and Gutter Package,$85.00 ,,,,
OK011218-67,1/17/2018 0:00,,1/17/2018 0:00,2454 COUNTY ST 2798,,CHICKASHA,OK,73018,LB: 0619,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
TX010518-123__1,1/17/2018 0:00,,1/17/2018 0:00,2105 Handly Street,,Texarkana,TX,75501,LB: 1149,Complete,Complete,Fannie Mae,"[{""serviceName"":""Ongoing Deficiency"",""survey"":null,""instructions"":""1.Smoke detector is chirping, can you please replace the batteries.\n2.Ceiling fans are dirty, can you please clean these on your next visit for the clean \n3.Cover plate is damaged, can you please install a new one"",""options"":null}]",TeddyBrabham,,,Ongoing Deficiency,,,,,
TX011218-125__2,1/17/2018 0:00,,1/17/2018 0:00,1292 N FM 2869,,Winnsboro,TX,75494,LB: 3746,Complete,Complete,Fannie Mae,"[{""serviceName"":""Emergency Repair_Service"",""survey"":"""",""instructions"":""Trip hazards throughout the lawn , can you please install fill dirt where there are holes. Trip hazard on the interior where the linoleum is coming up , please tape down to prevent a trip hazard"",""options"":null}]",Jenniferh,,,Emergency Repair/Service,,,,,
TX011218-137,1/17/2018 0:00,,1/17/2018 0:00,6 Inwood Rd,,Texarkana,TX,75501,LB: 7153,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",kristywilliams,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-17,1/17/2018 0:00,,1/17/2018 0:00,4388 Clyde Morgan Road,,Wichita Falls,TX,76310,LB: 8614,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":"""",""instructions"":"""",""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
TX011218-1__1,1/17/2018 0:00,,1/17/2018 0:00,559 County Road 1450,,Chico,TX,76431,LB: 6802,Complete,Complete,Fannie Mae,"[{""serviceName"":""Emergency Repair_Service"",""survey"":null,""instructions"":""There is a hole in the floor on the interior that needs to be repaired"",""options"":null}]",AmberChairez,,,Emergency Repair/Service,,,,,
TX011218-22__1,1/17/2018 0:00,,1/17/2018 0:00,5226 Catskills Dr,,Wichita Falls,TX,76310,LB: 9064,Complete,Complete,Fannie Mae,"[{""serviceName"":""Debris Removal"",""survey"":null,""instructions"":""Removal of all the blow up debris"",""options"":null}]",Clintg,,,Debris Removal,$15/CY,,,,
TX011218-30,1/17/2018 0:00,,1/17/2018 0:00,148 Whisphering Winds Drive,,Gunter,TX,75058,LB: 1931,Complete,Viewed,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",DianeJackson,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX011218-42,1/17/2018 0:00,,1/17/2018 0:00,9660 E. Hwy 80,,Terrell,TX,75160,LB: 1256,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-58,1/17/2018 0:00,,1/17/2018 0:00,120 County Road 2118,,Longview,TX,75603,LB: 4457,Complete,,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":"""",""instructions"":"""",""options"":null}]",Garycarter,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
115-082426,1/17/2018 23:00,,1/17/2018 23:00,"6423 22nd St,",,Lubbock,TX,79407,LB: 6411,Complete,Complete,Fannie Mae,"[{""serviceName"":""Preventative Boarding- Security"",""survey"":null,""instructions"":""Please install temp door with lock and hasp at outbuilding where missing."",""options"":null}]",rickieortiz,,,Preventative Boarding- Security,,,,,
115-082426__1,1/17/2018 23:00,,1/17/2018 23:00,"6423 22nd St,",,Lubbock,TX,79407,LB: 6411,Complete,Complete,Fannie Mae,"[{""serviceName"":""Window Reglaze - Up to 36x36"",""survey"":null,""instructions"":""Please install new window where broken"",""options"":null}]",rickieortiz,,,Window Reglaze - Up to 36x36,,,,,
115-101848,1/17/2018 23:00,,1/17/2018 23:00,301 Glazener Street,,Hawkins,TX,75765,LB: 8453,Complete,Complete,Fannie Mae,"[{""serviceName"":""Emergency Repair_Service"",""survey"":null,""instructions"":""Trip hazards in the lawn , please install fill dirt where there are holes."",""options"":null}]",Jenniferh,,,Emergency Repair/Service,,,,,
OK123141157__2,1/17/2018 23:00,,1/17/2018 23:00,1008 W Idylwild Dr,,Oklahoma City,OK,73110,LB: 2259,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,Landscape Package,175,,,,
OK464141841,1/17/2018 23:00,,1/17/2018 23:00,1205  W Charleston Street,,Broken Arrow,OK,74011,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Trashout"",""survey"":""PI10Trashout-v2"",""instructions"":"""",""options"":null}]",Marcog,,,Trash Removal,,,,,
OK46542241__2,1/17/2018 23:00,,1/17/2018 23:00,1205 W Charleston Street,,Broken Arrow,OK,74011,LB: 6977,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",Marcog,,,Landscape Package,175,,,,
OK46542241__3,1/17/2018 23:00,,1/17/2018 23:00,1205 W Charleston Street,,Broken Arrow,OK,74011,LB: 6977,Complete,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter"",""survey"":null,""instructions"":"""",""options"":null}]",Marcog,,,Roof and Gutter,85,,,,
TX63151758,1/17/2018 23:00,,1/17/2018 23:00,3700 Redwood Trl,,Marshall,TX,75672,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Rood and Gutter"",""survey"":null,""instructions"":"""",""options"":null}]",Garycarter,,,Rood and Gutter,85,,,,
OK011218-61,1/18/2018 0:00,,1/18/2018 0:00,1724 White Tail Dr,,Altus,OK,73521,LB: 5823,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",royherndon,,,(Ongoing Ext) Periodic Lawn,$90.00 ,,,,
TX011218-185,1/18/2018 0:00,,1/18/2018 0:00,3012 Post St,,Texarkana,TX,75501,LB: 6826,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",TeddyBrabham,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX011218-185__1,1/18/2018 0:00,,1/18/2018 0:00,3012 Post St,,Texarkana,TX,75501,LB: 6826,Complete,Complete,Fannie Mae,"[{""serviceName"":""Window Reglaze - Up to 36x36"",""survey"":null,""instructions"":""Please install new window where boarded"",""options"":null}]",TeddyBrabham,,,Window Reglaze - Up to 36x36,,,,,
TX011218-185__2,1/18/2018 0:00,,1/18/2018 0:00,3012 Post St,,Texarkana,TX,75501,LB: 6826,Complete,Complete,Fannie Mae,"[{""serviceName"":""Emergency Repair_Service"",""survey"":null,""instructions"":""Please remove the window pane that is broken, please leave the 2nd pane intact behind it. If it is broken also please use your window reglaze allowable to install a new window pane."",""options"":null}]",TeddyBrabham,,,Emergency Repair/Service,,,,,
TX011218-185__3,1/18/2018 0:00,,1/18/2018 0:00,3012 Post St,,Texarkana,TX,75501,LB: 6826,Complete,Complete,Fannie Mae,"[{""serviceName"":""Exterior Light Fixture Repair _ Replacement"",""survey"":null,""instructions"":""Please use your allowable to install a new light fixture on the exterior where there are wires, you will need to also install a new light bulb once the fixture is installed."",""options"":null}]",TeddyBrabham,,,Exterior Light Fixture Repair / Replacement,$25.00 ,,,,
TX011218-186,1/18/2018 0:00,,1/18/2018 0:00,59 Private Rd 52365,,Pittsburg,TX,75686,LB: 6919,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",victordudley,,,(Ongoing Int) Periodic Clean,$60.00 ,,,,
TX011218-27,1/18/2018 0:00,,1/18/2018 0:00,4388 Clyde Morgan Road,,Wichita Falls,TX,76310,LB: 8614,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX011218-80,1/18/2018 0:00,,1/18/2018 0:00,1961 Saint Andrews Dr,,Ovilla,TX,75154,1688164261 | Gate Code: 9048,Complete,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":null,""instructions"":null,""options"":null}]",BattsJJ,,,FNMA Property Inspection,,,,,
TX011218-81,1/18/2018 0:00,,1/18/2018 0:00,210 Willowbrook Dr,,Duncanville,TX,75116,1705396173,Complete,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":null,""instructions"":null,""options"":null}]",BattsJJ,,,FNMA Property Inspection,,,,,
TX011218-84,1/18/2018 0:00,,1/18/2018 0:00,2660 Windswept Ln,,Mesquite,TX,75181,1703670679,Complete,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":null,""instructions"":null,""options"":null}]",BattsJJ,,,FNMA Property Inspection,,,,,
OK42085843,1/18/2018 23:00,,1/18/2018 23:00,3511 W 41ST ST,,Tulsa,OK,74107,LB: 1854,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Interior"",""survey"":null,""instructions"":"""",""options"":null}]",Marcog,,,Initial Interior,180,,,,
OK42085843__1,1/18/2018 23:00,,1/18/2018 23:00,3511 W 41ST ST,,Tulsa,OK,74107,LB: 1854,Complete,Complete,Fannie Mae,"[{""serviceName"":""Special Start Up Package"",""survey"":null,""instructions"":"""",""options"":null}]",Marcog,,,Special Start Up Package,75,,,,
OK42085843__2,1/18/2018 23:00,,1/18/2018 23:00,3511 W 41ST ST,,Tulsa,OK,74107,LB: 1854,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",Marcog,,,Landscape Package,175,,,,
OK42085843__3,1/18/2018 23:00,,1/18/2018 23:00,3511 W 41ST ST,,Tulsa,OK,74107,LB: 1854,Complete,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter"",""survey"":null,""instructions"":"""",""options"":null}]",Marcog,,,Roof and Gutter,85,,,,
OK42085843__4,1/18/2018 23:00,,1/18/2018 23:00,3511 W 41ST ST,,Tulsa,OK,74107,LB: 1854,Complete,Complete,Fannie Mae,"[{""serviceName"":""Exterior Window Package"",""survey"":null,""instructions"":"""",""options"":null}]",Marcog,,,Exterior Window Package,75,,,,
OK6325105132,1/18/2018 23:00,,1/18/2018 23:00,3511 W 41st St,,Tulsa,OK,74107,LB:1854,Complete,Complete,fannie mae,"[{""serviceName"":""Initial Trashout"",""survey"":""PI10Trashout-v2"",""instructions"":null,""options"":null}]",Marcog,,,Trash Removal,,,,,
OK45100433,1/19/2018 0:00,,1/19/2018 0:00,17104 Wales Green Ave,,Edmond,OK,73003,LB:6043,Complete,Complete,Fannie Mae,"[{""serviceName"":""De-Winterization"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,De-Winterization,50,,,,
TX011218-102,1/19/2018 0:00,,1/19/2018 0:00,5626 McCommas Boulevard,,Dallas,TX,75206,1706039249,Complete,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":null,""instructions"":null,""options"":null}]",BattsJJ,,,FNMA Property Inspection,,,,,
